RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,savings,,,,interest,,
30,15656300,Lucciano,411,France,Male,29,0,59697.17,2,1,1,53483.21,0,6213.96,-6213.96,2674.1605,-8888.1205,26741.605,32955.565,1647.77825
31,15589475,Azikiwe,591,Spain,Female,39,3,0,3,1,0,140469.38,1,-140469.38,140469.38,7023.469,133445.911,70234.69,-70234.69,-3511.7345
32,15706552,Odinakachukwu,533,France,Male,36,7,85311.7,1,0,1,156731.91,0,-71420.21,71420.21,7836.5955,63583.6145,78365.955,6945.745,347.28725
33,15750181,Sanderson,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,28213.73,-28213.73,4094.9405,-32308.6705,40949.405,69163.135,3458.15675
34,15659428,Maggard,520,Spain,Female,42,6,0,2,1,1,34410.55,0,-34410.55,34410.55,1720.5275,32690.0225,17205.275,-17205.275,-860.26375
35,15732963,Clements,722,Spain,Female,29,9,0,2,1,1,142033.07,0,-142033.07,142033.07,7101.6535,134931.4165,71016.535,-71016.535,-3550.82675
36,15794171,Lombardo,475,France,Female,45,0,134264.04,1,1,0,27822.99,1,106441.05,-106441.05,1391.1495,-107832.1995,13911.495,120352.545,6017.62725
37,15788448,Watson,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,31193.46,-31193.46,5703.3385,-36896.7985,57033.385,88226.845,4411.34225
38,15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,-21904.85,21904.85,4922.6725,16982.1775,49226.725,27321.875,1366.09375
39,15717426,Armstrong,850,France,Male,36,7,0,1,1,1,40812.9,0,-40812.9,40812.9,2040.645,38772.255,20406.45,-20406.45,-1020.3225
40,15585768,Cameron,582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,-107724.56,107724.56,8903.702,98820.858,89037.02,-18687.54,-934.377
41,15619360,Hsiao,472,Spain,Male,40,4,0,1,1,0,70154.22,0,-70154.22,70154.22,3507.711,66646.509,35077.11,-35077.11,-1753.8555
42,15738148,Clarke,465,France,Female,51,8,122522.32,1,0,0,181297.65,1,-58775.33,58775.33,9064.8825,49710.4475,90648.825,31873.495,1593.67475
43,15687946,Osborne,556,France,Female,61,2,117419.35,1,1,1,94153.83,0,23265.52,-23265.52,4707.6915,-27973.2115,47076.915,70342.435,3517.12175
44,15755196,Lavine,834,France,Female,49,2,131394.56,1,0,0,194365.76,1,-62971.2,62971.2,9718.288,53252.912,97182.88,34211.68,1710.584
45,15684171,Bianchi,660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,-2407.28,2407.28,7916.9195,-5509.6395,79169.195,76761.915,3838.09575
46,15754849,Tyler,776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,-17096.33,17096.33,6325.873,10770.457,63258.73,46162.4,2308.12
47,15602280,Martin,829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,-7662.54,7662.54,5985.4105,1677.1295,59854.105,52191.565,2609.57825
48,15771573,Okagbue,637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,20221,-20221,5881.14,-26102.14,58811.4,79032.4,3951.62
49,15766205,Yin,550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,12513.25,-12513.25,4543.9065,-17057.1565,45439.065,57952.315,2897.61575
50,15771873,Buccho,776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,-90329.9,90329.9,9704.956,80624.944,97049.56,6719.66,335.983
51,15616550,Chidiebele,698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,-81695.79,81695.79,9902.958,71792.832,99029.58,17333.79,866.6895
52,15768193,Trevisani,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,59626.4,-59626.4,4321.2285,-63947.6285,43212.285,102838.685,5141.93425
53,15683553,O'Brien,788,France,Female,33,5,0,2,0,0,116978.19,0,-116978.19,116978.19,5848.9095,111129.2805,58489.095,-58489.095,-2924.45475
54,15702298,Parkhill,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,-38478.97,38478.97,8202.047,30276.923,82020.47,43541.5,2177.075
55,15569590,Yoo,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,58480.96,-58480.96,2000.738,-60481.698,20007.38,78488.34,3924.417
56,15760861,Phillipps,619,France,Male,43,1,125211.92,1,1,1,113410.49,0,11801.43,-11801.43,5670.5245,-17471.9545,56705.245,68506.675,3425.33375
57,15630053,Tsao,656,France,Male,45,5,127864.4,1,1,0,87107.57,0,40756.83,-40756.83,4355.3785,-45112.2085,43553.785,84310.615,4215.53075
58,15647091,Endrizzi,725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,30274.45,-30274.45,2280.6875,-32555.1375,22806.875,53081.325,2654.06625
59,15623944,T'ien,511,Spain,Female,66,4,0,1,1,0,1643.11,1,-1643.11,1643.11,82.1555,1560.9545,821.555,-821.555,-41.07775
60,15804771,Velazquez,614,France,Male,51,4,40685.92,1,1,1,46775.28,0,-6089.36,6089.36,2338.764,3750.596,23387.64,17298.28,864.914
61,15651280,Hunter,742,Germany,Male,35,5,136857,1,0,0,84509.57,0,52347.43,-52347.43,4225.4785,-56572.9085,42254.785,94602.215,4730.11075
62,15773469,Clark,687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,25834.06,-25834.06,6324.741,-32158.801,63247.41,89081.47,4454.0735
63,15702014,Jeffrey,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,-122713.44,122713.44,8939.9065,113773.5335,89399.065,-33314.375,-1665.71875
64,15751208,Pirozzi,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,-20691.2,20691.2,4969.918,15721.282,49699.18,29007.98,1450.399
65,15592461,Jackson,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,16325.7,-16325.7,4642.0335,-20967.7335,46420.335,62746.035,3137.30175
66,15789484,Hammond,751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,142073.1,-142073.1,1387.918,-143461.018,13879.18,155952.28,7797.614
67,15696061,Brownless,581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,-8798.47,8798.47,5521.5755,3276.8945,55215.755,46417.285,2320.86425
68,15641582,Chibugo,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,-73493.27,73493.27,9833.664,63659.606,98336.64,24843.37,1242.1685
69,15638424,Glauert,661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,37068.68,-37068.68,5682.8425,-42751.5225,56828.425,93897.105,4694.85525
70,15755648,Pisano,675,France,Female,21,8,98373.26,1,1,0,18203,0,80170.26,-80170.26,910.15,-81080.41,9101.5,89271.76,4463.588
71,15703793,Konovalova,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,105371.58,-105371.58,1418.693,-106790.273,14186.93,119558.51,5977.9255
72,15620344,McKee,813,France,Male,29,6,0,1,1,0,33953.87,0,-33953.87,33953.87,1697.6935,32256.1765,16976.935,-16976.935,-848.84675
73,15812518,Palermo,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,119403.63,-119403.63,2210.1775,-121613.8075,22101.775,141505.405,7075.27025
74,15779052,Ballard,604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,99354.03,-99354.03,2921.3405,-102275.3705,29213.405,128567.435,6428.37175
75,15770811,Wallace,519,France,Male,36,9,0,2,0,1,145562.4,0,-145562.4,145562.4,7278.12,138284.28,72781.2,-72781.2,-3639.06
76,15780961,Cavenagh,735,France,Female,21,1,178718.19,2,1,0,22388,0,156330.19,-156330.19,1119.4,-157449.59,11194,167524.19,8376.2095
77,15614049,Hu,664,France,Male,55,8,0,2,1,1,139161.64,0,-139161.64,139161.64,6958.082,132203.558,69580.82,-69580.82,-3479.041
78,15662085,Read,678,France,Female,32,9,0,1,1,1,148210.64,0,-148210.64,148210.64,7410.532,140800.108,74105.32,-74105.32,-3705.266
79,15575185,Bushell,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,-116986.41,116986.41,9711.9815,107274.4285,97119.815,-19866.595,-993.32975
80,15803136,Postle,416,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,23888.05,-23888.05,4915.0805,-28803.1305,49150.805,73038.855,3651.94275
81,15706021,Buley,665,France,Female,34,1,96645.54,2,0,0,171413.66,0,-74768.12,74768.12,8570.683,66197.437,85706.83,10938.71,546.9355
82,15663706,Leonard,777,France,Female,32,2,0,1,1,0,136458.19,1,-136458.19,136458.19,6822.9095,129635.2805,68229.095,-68229.095,-3411.45475
83,15641732,Mills,543,France,Female,36,3,0,2,0,0,26019.59,0,-26019.59,26019.59,1300.9795,24718.6105,13009.795,-13009.795,-650.48975
84,15701164,Onyeorulu,506,France,Female,34,4,90307.62,1,1,1,159235.29,0,-68927.67,68927.67,7961.7645,60965.9055,79617.645,10689.975,534.49875
85,15738751,Beit,493,France,Female,46,4,0,2,1,0,1907.66,0,-1907.66,1907.66,95.383,1812.277,953.83,-953.83,-47.6915
86,15805254,Ndukaku,652,Spain,Female,75,10,0,2,1,1,114675.75,0,-114675.75,114675.75,5733.7875,108941.9625,57337.875,-57337.875,-2866.89375
87,15762418,Gant,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,-6961.53,6961.53,6432.1675,529.3625,64321.675,57360.145,2868.00725
88,15625759,Rowley,729,France,Male,30,9,0,2,1,0,151869.35,0,-151869.35,151869.35,7593.4675,144275.8825,75934.675,-75934.675,-3796.73375
89,15622897,Sharpe,646,France,Female,46,4,0,3,1,0,93251.42,1,-93251.42,93251.42,4662.571,88588.849,46625.71,-46625.71,-2331.2855
90,15767954,Osborne,635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,-75167.69,75167.69,7839.568,67328.122,78395.68,3227.99,161.3995
91,15757535,Heap,647,Spain,Female,44,5,0,3,1,1,174205.22,1,-174205.22,174205.22,8710.261,165494.959,87102.61,-87102.61,-4355.1305
92,15731511,Ritchie,808,France,Male,45,7,118626.55,2,1,0,147132.46,0,-28505.91,28505.91,7356.623,21149.287,73566.23,45060.32,2253.016
93,15809248,Cole,524,France,Female,36,10,0,2,1,0,109614.57,0,-109614.57,109614.57,5480.7285,104133.8415,54807.285,-54807.285,-2740.36425
94,15640635,Capon,769,France,Male,29,8,0,2,1,1,172290.61,0,-172290.61,172290.61,8614.5305,163676.0795,86145.305,-86145.305,-4307.26525
95,15676966,Capon,730,Spain,Male,42,4,0,2,0,1,85982.47,0,-85982.47,85982.47,4299.1235,81683.3465,42991.235,-42991.235,-2149.56175
96,15699461,Fiorentini,515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,54996.17,-54996.17,6063.889,-61060.059,60638.89,115635.06,5781.753
97,15738721,Graham,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,38232.19,-38232.19,3229.7625,-41461.9525,32297.625,70529.815,3526.49075
98,15693683,Yuille,814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,-100189.73,100189.73,9863.8065,90325.9235,98638.065,-1551.665,-77.58325
99,15604348,Allard,710,Spain,Male,22,8,0,2,0,0,99645.04,0,-99645.04,99645.04,4982.252,94662.788,49822.52,-49822.52,-2491.126
100,15633059,Fanucci,413,France,Male,34,9,0,2,0,0,6534.18,0,-6534.18,6534.18,326.709,6207.471,3267.09,-3267.09,-163.3545
101,15808582,Fu,665,France,Female,40,6,0,1,1,1,161848.03,0,-161848.03,161848.03,8092.4015,153755.6285,80924.015,-80924.015,-4046.20075
102,15743192,Hung,623,France,Female,44,6,0,2,0,0,167162.43,0,-167162.43,167162.43,8358.1215,158804.3085,83581.215,-83581.215,-4179.06075
103,15580146,Hung,738,France,Male,31,9,82674.15,1,1,0,41970.72,0,40703.43,-40703.43,2098.536,-42801.966,20985.36,61688.79,3084.4395
104,15776605,Bradley,528,Spain,Male,36,7,0,2,1,0,60536.56,0,-60536.56,60536.56,3026.828,57509.732,30268.28,-30268.28,-1513.414
105,15804919,Dunbabin,670,Spain,Female,65,1,0,1,1,1,177655.68,1,-177655.68,177655.68,8882.784,168772.896,88827.84,-88827.84,-4441.392
106,15613854,Mauldon,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,76088.68,-76088.68,1549.2295,-77637.9095,15492.295,91580.975,4579.04875
107,15599195,Stiger,582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,78884.09,-78884.09,502.7265,-79386.8165,5027.265,83911.355,4195.56775
108,15812878,Parsons,785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,62830.33,-62830.33,1848.826,-64679.156,18488.26,81318.59,4065.9295
109,15602312,Walkom,605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,78230.01,-78230.01,3593.1395,-81823.1495,35931.395,114161.405,5708.07025
110,15744689,T'ang,479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,-6615.97,6615.97,4972.493,1643.477,49724.93,43108.96,2155.448
111,15803526,Eremenko,685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,27453.93,-27453.93,3154.144,-30608.074,31541.44,58995.37,2949.7685
112,15665790,Rowntree,538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0,80823.84,-80823.84,1361.563,-82185.403,13615.63,94439.47,4721.9735
113,15715951,Thorpe,562,France,Male,42,2,100238.35,1,0,0,86797.41,0,13440.94,-13440.94,4339.8705,-17780.8105,43398.705,56839.645,2841.98225
114,15591100,Chiemela,675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0,83196.23,-83196.23,1149.716,-84345.946,11497.16,94693.39,4734.6695
115,15609618,Fanucci,721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,53174.6,-53174.6,5065.047,-58239.647,50650.47,103825.07,5191.2535
116,15675522,Ko,628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0,58182.16,-58182.16,3708.4565,-61890.6165,37084.565,95266.725,4763.33625
117,15705512,Welch,668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0,52226.11,-52226.11,5781.9145,-58008.0245,57819.145,110045.255,5502.26275
118,15698028,Duncan,506,France,Female,41,1,0,2,1,0,31766.3,0,-31766.3,31766.3,1588.315,30177.985,15883.15,-15883.15,-794.1575
119,15661670,Chidozie,524,Germany,Female,31,8,107818.63,1,1,0,199725.39,1,-91906.76,91906.76,9986.2695,81920.4905,99862.695,7955.935,397.79675
120,15600781,Wu,699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0,64339.33,-64339.33,6041.724,-70381.054,60417.24,124756.57,6237.8285
121,15682472,Culbreth,828,France,Male,34,8,129433.34,2,0,0,38131.77,0,91301.57,-91301.57,1906.5885,-93208.1585,19065.885,110367.455,5518.37275
122,15580203,Kennedy,674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0,20062.47,-20062.47,5006.5475,-25069.0175,50065.475,70127.945,3506.39725
123,15690673,Cameron,656,France,Female,39,6,0,2,1,0,141069.88,0,-141069.88,141069.88,7053.494,134016.386,70534.94,-70534.94,-3526.747
124,15760085,Calabresi,684,Germany,Female,48,10,126384.42,1,1,1,198129.36,0,-71744.94,71744.94,9906.468,61838.472,99064.68,27319.74,1365.987
125,15779659,Zetticci,625,France,Female,28,3,0,1,0,0,183646.41,0,-183646.41,183646.41,9182.3205,174464.0895,91823.205,-91823.205,-4591.16025
126,15627360,Fuller,432,France,Male,42,9,152603.45,1,1,0,110265.24,1,42338.21,-42338.21,5513.262,-47851.472,55132.62,97470.83,4873.5415
127,15671137,MacDonald,549,France,Female,52,1,0,1,0,1,8636.05,1,-8636.05,8636.05,431.8025,8204.2475,4318.025,-4318.025,-215.90125
128,15782688,Piccio,625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1,101683.16,-101683.16,2341.204,-104024.364,23412.04,125095.2,6254.76
129,15575492,Kennedy,828,France,Female,41,7,0,2,1,0,171378.77,0,-171378.77,171378.77,8568.9385,162809.8315,85689.385,-85689.385,-4284.46925
130,15591607,Fernie,770,France,Male,24,9,101827.07,1,1,0,167256.35,0,-65429.28,65429.28,8362.8175,57066.4625,83628.175,18198.895,909.94475
131,15740404,He,758,France,Female,34,3,0,2,1,1,124226.16,0,-124226.16,124226.16,6211.308,118014.852,62113.08,-62113.08,-3105.654
132,15718369,Kaodilinakachukwu,795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0,15927.22,-15927.22,5746.7605,-21673.9805,57467.605,73394.825,3669.74125
133,15677871,Cocci,687,France,Male,38,9,122570.87,1,1,1,35608.88,0,86961.99,-86961.99,1780.444,-88742.434,17804.44,104766.43,5238.3215
134,15642004,Alekseeva,686,France,Male,25,1,0,2,0,1,16459.37,0,-16459.37,16459.37,822.9685,15636.4015,8229.685,-8229.685,-411.48425
135,15712543,Chinweike,789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0,417.38,-417.38,6220.554,-6637.934,62205.54,62622.92,3131.146
136,15584518,Arthur,589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0,109953.82,-109953.82,1747.0615,-111700.8815,17470.615,127424.435,6371.22175
137,15802381,Li,461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0,-104120.35,104120.35,8389.214,95731.136,83892.14,-20228.21,-1011.4105
138,15610156,Ma,637,France,Male,40,2,133463.1,1,0,1,93165.34,0,40297.76,-40297.76,4658.267,-44956.027,46582.67,86880.43,4344.0215
139,15594408,Chia,584,Spain,Female,48,2,213146.2,1,1,0,75161.25,1,137984.95,-137984.95,3758.0625,-141743.0125,37580.625,175565.575,8778.27875
140,15640905,Vasin,579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1,120899.53,-120899.53,429.5415,-121329.0715,4295.415,125194.945,6259.74725
141,15698932,Groves,756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0,-52091.81,52091.81,9477.195,42614.615,94771.95,42680.14,2134.007
142,15724944,Tien,663,France,Male,34,7,0,2,1,1,180427.24,0,-180427.24,180427.24,9021.362,171405.878,90213.62,-90213.62,-4510.681
143,15628145,Forwood,682,France,Female,43,5,125851.93,1,1,1,193318.33,0,-67466.4,67466.4,9665.9165,57800.4835,96659.165,29192.765,1459.63825
144,15713483,Greeves,793,Spain,Male,52,2,0,1,1,0,159123.82,1,-159123.82,159123.82,7956.191,151167.629,79561.91,-79561.91,-3978.0955
145,15612350,Taylor,691,France,Female,31,5,40915.55,1,1,0,126213.84,1,-85298.29,85298.29,6310.692,78987.598,63106.92,-22191.37,-1109.5685
146,15800703,Madukwe,485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0,59015.72,-59015.72,2707.075,-61722.795,27070.75,86086.47,4304.3235
147,15705707,Bennelong,635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0,-2778.57,2778.57,7053.7755,-4275.2055,70537.755,67759.185,3387.95925
148,15754105,Olisanugo,650,France,Male,37,5,106967.18,1,0,0,24495.03,0,82472.15,-82472.15,1224.7515,-83696.9015,12247.515,94719.665,4735.98325
149,15703264,Chukwufumnanya,735,France,Male,44,9,120681.63,1,1,0,74836.34,0,45845.29,-45845.29,3741.817,-49587.107,37418.17,83263.46,4163.173
150,15794413,Harris,416,France,Male,32,0,0,2,0,1,878.87,0,-878.87,878.87,43.9435,834.9265,439.435,-439.435,-21.97175
151,15650237,Morgan,754,Spain,Female,32,7,0,2,1,0,89520.75,0,-89520.75,89520.75,4476.0375,85044.7125,44760.375,-44760.375,-2238.01875
152,15759618,Alexeeva,535,France,Female,48,9,0,1,1,0,149892.79,1,-149892.79,149892.79,7494.6395,142398.1505,74946.395,-74946.395,-3747.31975
153,15811589,Metcalfe,716,Spain,Male,42,8,0,2,1,0,180800.42,0,-180800.42,180800.42,9040.021,171760.399,90400.21,-90400.21,-4520.0105
154,15689044,Humphries,539,France,Male,37,2,127609.59,1,1,0,98646.22,0,28963.37,-28963.37,4932.311,-33895.681,49323.11,78286.48,3914.324
155,15709368,Milne,614,France,Female,43,6,0,2,1,1,109041.53,0,-109041.53,109041.53,5452.0765,103589.4535,54520.765,-54520.765,-2726.03825
156,15679145,Chou,706,Spain,Male,57,7,0,1,1,0,17941.16,1,-17941.16,17941.16,897.058,17044.102,8970.58,-8970.58,-448.529
157,15655007,Li,758,France,Female,33,7,0,2,0,0,82996.47,0,-82996.47,82996.47,4149.8235,78846.6465,41498.235,-41498.235,-2074.91175
158,15623595,Clayton,586,Spain,Female,28,2,0,2,1,1,92067.35,0,-92067.35,92067.35,4603.3675,87463.9825,46033.675,-46033.675,-2301.68375
159,15589975,Maclean,646,France,Female,73,6,97259.25,1,0,1,104719.66,0,-7460.41,7460.41,5235.983,2224.427,52359.83,44899.42,2244.971
160,15804017,Chigolum,631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0,10559.13,-10559.13,5634.3785,-16193.5085,56343.785,66902.915,3345.14575
161,15692132,Wilkinson,717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0,16360.69,-16360.69,4234.978,-20595.668,42349.78,58710.47,2935.5235
162,15641122,Wei,684,France,Male,30,2,0,2,1,0,83473.82,0,-83473.82,83473.82,4173.691,79300.129,41736.91,-41736.91,-2086.8455
163,15630910,Treacy,800,France,Female,49,7,108007.36,1,0,0,47125.11,0,60882.25,-60882.25,2356.2555,-63238.5055,23562.555,84444.805,4222.24025
164,15680772,Hu,721,Spain,Female,36,2,0,2,1,1,106977.8,0,-106977.8,106977.8,5348.89,101628.91,53488.9,-53488.9,-2674.445
165,15658929,Taverner,683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1,78120.35,-78120.35,2779.127,-80899.477,27791.27,105911.62,5295.581
166,15585388,Sherman,660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0,-14684.68,14684.68,6993.7215,7690.9585,69937.215,55252.535,2762.62675
167,15724623,Taubman,704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1,-49469.26,49469.26,8125.174,41344.086,81251.74,31782.48,1589.124
168,15588537,Robinson,615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0,-87486.73,87486.73,9824.998,77661.732,98249.98,10763.25,538.1625
169,15574692,Pinto,667,Spain,Female,39,2,0,2,1,0,40721.24,1,-40721.24,40721.24,2036.062,38685.178,20360.62,-20360.62,-1018.031
170,15611325,Wood,682,Germany,Male,24,9,57929.81,2,0,0,53134.3,0,4795.51,-4795.51,2656.715,-7452.225,26567.15,31362.66,1568.133
171,15587562,Hawkins,484,France,Female,29,4,130114.39,1,1,0,164017.89,0,-33903.5,33903.5,8200.8945,25702.6055,82008.945,48105.445,2405.27225
172,15613172,Sun,628,Germany,Male,27,5,95826.49,2,1,0,155996.96,0,-60170.47,60170.47,7799.848,52370.622,77998.48,17828.01,891.4005
173,15651022,Yost,480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1,124135.87,-124135.87,273.635,-124409.505,2736.35,126872.22,6343.611
174,15586310,Ting,578,France,Male,30,4,169462.09,1,1,0,112187.11,0,57274.98,-57274.98,5609.3555,-62884.3355,56093.555,113368.535,5668.42675
175,15625524,Rowe,512,France,Male,40,5,0,2,1,1,146457.83,0,-146457.83,146457.83,7322.8915,139134.9385,73228.915,-73228.915,-3661.44575
